survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embarked,embark_town,alive,alone
0,3,male,7,4,1,39.6875,Third,child,False,,S,Southampton,no,False
0,3,male,21,0,0,7.8,Third,man,True,,S,Southampton,no,True
1,1,female,49,1,0,76.7292,First,woman,False,D,C,Cherbourg,yes,False
1,2,female,29,1,0,26,Second,woman,False,,S,Southampton,yes,False
0,1,male,65,0,1,61.9792,First,man,True,B,C,Cherbourg,no,False
1,1,male,,0,0,35.5,First,man,True,C,S,Southampton,yes,True
1,2,female,21,0,0,10.5,Second,woman,False,,S,Southampton,yes,True
0,3,male,28.5,0,0,7.2292,Third,man,True,,C,Cherbourg,no,True
1,2,female,5,1,2,27.75,Second,child,False,,S,Southampton,yes,False
0,3,male,11,5,2,46.9,Third,child,False,,S,Southampton,no,False
0,3,male,22,0,0,7.2292,Third,man,True,,C,Cherbourg,no,True
1,1,female,38,0,0,80,First,woman,False,B,,,yes,True
0,1,male,45,1,0,83.475,First,man,True,C,S,Southampton,no,False
0,3,male,4,3,2,27.9,Third,child,False,,S,Southampton,no,False
0,1,male,,0,0,27.7208,First,man,True,,C,Cherbourg,no,True
1,3,male,,1,1,15.2458,Third,man,True,,C,Cherbourg,yes,False
1,2,female,29,0,0,10.5,Second,woman,False,F,S,Southampton,yes,True
0,3,male,19,0,0,8.1583,Third,man,True,,S,Southampton,no,True
1,3,female,17,4,2,7.925,Third,woman,False,,S,Southampton,yes,False
0,3,male,26,2,0,8.6625,Third,man,True,,S,Southampton,no,False
0,2,male,32,0,0,10.5,Second,man,True,,S,Southampton,no,True
0,3,female,16,5,2,46.9,Third,woman,False,,S,Southampton,no,False
0,2,male,21,0,0,73.5,Second,man,True,,S,Southampton,no,True
0,3,male,26,1,0,14.4542,Third,man,True,,C,Cherbourg,no,False
1,3,male,32,0,0,56.4958,Third,man,True,,S,Southampton,yes,True
0,3,male,25,0,0,7.65,Third,man,True,F,S,Southampton,no,True
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,2,male,0.83,0,2,29,Second,child,False,,S,Southampton,yes,False
1,3,female,30,0,0,12.475,Third,woman,False,,S,Southampton,yes,True
0,3,male,22,0,0,9,Third,man,True,,S,Southampton,no,True
1,3,male,29,0,0,9.5,Third,man,True,,S,Southampton,yes,True
1,3,female,,0,0,7.7875,Third,woman,False,,Q,Queenstown,yes,True
0,1,male,28,0,0,47.1,First,man,True,,S,Southampton,no,True
1,2,female,17,0,0,10.5,Second,woman,False,,S,Southampton,yes,True
1,3,female,33,3,0,15.85,Third,woman,False,,S,Southampton,yes,False
0,3,male,16,1,3,34.375,Third,man,True,,S,Southampton,no,False
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,1,female,23,3,2,263,First,woman,False,C,S,Southampton,yes,False
0,3,male,24,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,29,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,20,0,0,7.8542,Third,man,True,,S,Southampton,no,True
0,1,male,46,1,0,61.175,First,man,True,E,S,Southampton,no,False
0,3,male,26,1,2,20.575,Third,man,True,,S,Southampton,no,False
0,3,male,59,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,1,male,71,0,0,34.6542,First,man,True,A,C,Cherbourg,no,True
1,1,male,23,0,1,63.3583,First,man,True,D,C,Cherbourg,yes,False
1,2,female,34,0,1,23,Second,woman,False,,S,Southampton,yes,False
0,2,male,34,1,0,26,Second,man,True,,S,Southampton,no,False
0,3,female,28,0,0,7.8958,Third,woman,False,,S,Southampton,no,True
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,1,male,21,0,1,77.2875,First,man,True,D,S,Southampton,no,False
0,3,male,33,0,0,8.6542,Third,man,True,,S,Southampton,no,True
0,3,male,37,2,0,7.925,Third,man,True,,S,Southampton,no,False
0,3,male,28,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,3,female,21,0,0,7.65,Third,woman,False,,S,Southampton,yes,True
1,3,male,,0,0,7.775,Third,man,True,,S,Southampton,yes,True
0,3,male,38,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,3,female,,1,0,24.15,Third,woman,False,,Q,Queenstown,yes,False
0,1,male,47,0,0,52,First,man,True,C,S,Southampton,no,True
0,3,female,14.5,1,0,14.4542,Third,child,False,,C,Cherbourg,no,False
0,3,male,22,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,female,20,1,0,9.825,Third,woman,False,,S,Southampton,no,False
0,3,female,17,0,0,14.4583,Third,woman,False,,C,Cherbourg,no,True
0,3,male,21,0,0,7.925,Third,man,True,,S,Southampton,no,True
0,3,male,70.5,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
0,2,male,29,1,0,21,Second,man,True,,S,Southampton,no,False
0,1,male,24,0,1,247.5208,First,man,True,B,C,Cherbourg,no,False
0,3,female,2,4,2,31.275,Third,child,False,,S,Southampton,no,False
0,2,male,21,2,0,73.5,Second,man,True,,S,Southampton,no,False
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,2,male,32.5,1,0,30.0708,Second,man,True,,C,Cherbourg,no,False
1,2,female,32.5,0,0,13,Second,woman,False,E,S,Southampton,yes,True
0,1,male,54,0,1,77.2875,First,man,True,D,S,Southampton,no,False
1,3,male,12,1,0,11.2417,Third,child,False,,C,Cherbourg,yes,False
0,3,male,,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
1,3,male,24,0,0,7.1417,Third,man,True,,S,Southampton,yes,True
1,3,female,,1,1,22.3583,Third,woman,False,F,C,Cherbourg,yes,False
0,3,male,45,0,0,6.975,Third,man,True,,S,Southampton,no,True
0,3,male,33,0,0,7.8958,Third,man,True,,C,Cherbourg,no,True
0,3,male,20,0,0,7.05,Third,man,True,,S,Southampton,no,True
0,3,female,47,1,0,14.5,Third,woman,False,,S,Southampton,no,False
1,2,female,29,1,0,26,Second,woman,False,,S,Southampton,yes,False
0,2,male,25,0,0,13,Second,man,True,,S,Southampton,no,True
0,2,male,23,0,0,15.0458,Second,man,True,,C,Cherbourg,no,True
1,1,female,19,0,2,26.2833,First,woman,False,D,S,Southampton,yes,False
0,1,male,37,1,0,53.1,First,man,True,C,S,Southampton,no,False
0,3,male,16,0,0,9.2167,Third,man,True,,S,Southampton,no,True
0,1,male,24,0,0,79.2,First,man,True,B,C,Cherbourg,no,True
0,3,female,,0,2,15.2458,Third,woman,False,,C,Cherbourg,no,False
1,3,female,22,0,0,7.75,Third,woman,False,,S,Southampton,yes,True
1,3,female,24,1,0,15.85,Third,woman,False,,S,Southampton,yes,False
0,3,male,19,0,0,6.75,Third,man,True,,Q,Queenstown,no,True
0,2,male,18,0,0,11.5,Second,man,True,,S,Southampton,no,True
0,2,male,19,1,1,36.75,Second,man,True,,S,Southampton,no,False
1,3,male,27,0,0,7.7958,Third,man,True,,S,Southampton,yes,True
0,3,female,9,2,2,34.375,Third,child,False,,S,Southampton,no,False
0,2,male,36.5,0,2,26,Second,man,True,F,S,Southampton,no,False
0,2,male,42,0,0,13,Second,man,True,,S,Southampton,no,True
0,2,male,51,0,0,12.525,Second,man,True,,S,Southampton,no,True
1,1,female,22,1,0,66.6,First,woman,False,C,S,Southampton,yes,False
0,3,male,55.5,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,40.5,0,2,14.5,Third,man,True,,S,Southampton,no,False
0,3,male,,0,0,7.3125,Third,man,True,,S,Southampton,no,True
0,1,male,51,0,1,61.3792,First,man,True,,C,Cherbourg,no,False
1,3,female,16,0,0,7.7333,Third,woman,False,,Q,Queenstown,yes,True
0,3,male,30,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,8.6625,Third,man,True,,S,Southampton,no,True
0,3,male,,8,2,69.55,Third,man,True,,S,Southampton,no,False
0,3,male,44,0,1,16.1,Third,man,True,,S,Southampton,no,False
1,2,female,40,0,0,15.75,Second,woman,False,,S,Southampton,yes,True
0,3,male,26,0,0,7.775,Third,man,True,,S,Southampton,no,True
0,3,male,17,0,0,8.6625,Third,man,True,,S,Southampton,no,True
0,3,male,1,4,1,39.6875,Third,child,False,,S,Southampton,no,False
1,3,male,9,0,2,20.525,Third,child,False,,S,Southampton,yes,False
1,1,female,,0,1,55,First,woman,False,E,S,Southampton,yes,False
0,3,female,45,1,4,27.9,Third,woman,False,,S,Southampton,no,False
0,1,male,,0,0,25.925,First,man,True,,S,Southampton,no,True
0,3,male,28,0,0,56.4958,Third,man,True,,S,Southampton,no,True
0,1,male,61,0,0,33.5,First,man,True,B,S,Southampton,no,True
0,3,male,4,4,1,29.125,Third,child,False,,Q,Queenstown,no,False
1,3,female,1,1,1,11.1333,Third,child,False,,S,Southampton,yes,False
0,3,male,21,0,0,7.925,Third,man,True,,S,Southampton,no,True
0,1,male,56,0,0,30.6958,First,man,True,A,C,Cherbourg,no,True
0,3,male,18,1,1,7.8542,Third,man,True,,S,Southampton,no,False
0,3,male,,3,1,25.4667,Third,man,True,,S,Southampton,no,False
0,1,female,50,0,0,28.7125,First,woman,False,C,C,Cherbourg,no,True
0,2,male,30,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,male,36,0,0,0,Third,man,True,,S,Southampton,no,True
0,3,female,,8,2,69.55,Third,woman,False,,S,Southampton,no,False
0,2,male,,0,0,15.05,Second,man,True,,C,Cherbourg,no,True
0,3,male,9,4,2,31.3875,Third,child,False,,S,Southampton,no,False
1,2,male,1,2,1,39,Second,child,False,F,S,Southampton,yes,False
1,3,female,4,0,2,22.025,Third,child,False,,S,Southampton,yes,False
0,1,male,,0,0,50,First,man,True,A,S,Southampton,no,True
1,3,female,,1,0,15.5,Third,woman,False,,Q,Queenstown,yes,False
1,1,male,45,0,0,26.55,First,man,True,,S,Southampton,yes,True
0,3,male,40,1,1,15.5,Third,man,True,,Q,Queenstown,no,False
0,3,male,36,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,2,female,32,0,0,13,Second,woman,False,,S,Southampton,yes,True
0,2,male,19,0,0,13,Second,man,True,,S,Southampton,no,True
1,3,female,19,1,0,7.8542,Third,woman,False,,S,Southampton,yes,False
1,2,male,3,1,1,26,Second,child,False,F,S,Southampton,yes,False
1,1,female,44,0,0,27.7208,First,woman,False,B,C,Cherbourg,yes,True
1,1,female,58,0,0,146.5208,First,woman,False,B,C,Cherbourg,yes,True
0,3,male,,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
0,3,male,42,0,1,8.4042,Third,man,True,,S,Southampton,no,False
1,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
0,2,female,24,0,0,13,Second,woman,False,,S,Southampton,no,True
0,3,male,28,0,0,9.5,Third,man,True,,S,Southampton,no,True
0,3,male,,8,2,69.55,Third,man,True,,S,Southampton,no,False
0,3,male,34,0,0,6.4958,Third,man,True,,S,Southampton,no,True
0,3,male,45.5,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
1,3,male,18,0,0,8.05,Third,man,True,,S,Southampton,yes,True
0,3,female,2,0,1,10.4625,Third,child,False,G,S,Southampton,no,False
0,3,male,32,1,0,15.85,Third,man,True,,S,Southampton,no,False
1,3,male,26,0,0,18.7875,Third,man,True,,C,Cherbourg,yes,True
1,3,female,16,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
1,1,male,40,0,0,31,First,man,True,A,C,Cherbourg,yes,True
0,3,male,24,0,0,7.05,Third,man,True,,S,Southampton,no,True
1,2,female,35,0,0,21,Second,woman,False,,S,Southampton,yes,True
0,3,male,22,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,2,male,30,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,male,,1,0,7.75,Third,man,True,,Q,Queenstown,no,False
1,1,female,31,1,0,113.275,First,woman,False,D,C,Cherbourg,yes,False
1,3,female,27,0,0,7.925,Third,woman,False,,S,Southampton,yes,True
0,2,male,42,1,0,27,Second,man,True,,S,Southampton,no,False
1,1,female,32,0,0,76.2917,First,woman,False,D,C,Cherbourg,yes,True
0,2,male,30,0,0,10.5,Second,man,True,,S,Southampton,no,True
1,3,male,16,0,0,8.05,Third,man,True,,S,Southampton,yes,True
0,2,male,27,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,male,51,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,1,male,38,1,0,90,First,man,True,C,S,Southampton,yes,False
0,3,male,22,0,0,9.35,Third,man,True,,S,Southampton,no,True
1,2,male,19,0,0,10.5,Second,man,True,,S,Southampton,yes,True
0,3,male,20.5,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,2,male,18,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,female,,3,1,25.4667,Third,woman,False,,S,Southampton,no,False
1,1,female,35,1,0,83.475,First,woman,False,C,S,Southampton,yes,False
0,3,male,29,0,0,7.775,Third,man,True,,S,Southampton,no,True
0,2,male,59,0,0,13.5,Second,man,True,,S,Southampton,no,True
1,3,female,5,4,2,31.3875,Third,child,False,,S,Southampton,yes,False
0,2,male,24,0,0,10.5,Second,man,True,,S,Southampton,no,True
0,3,female,,0,0,7.55,Third,woman,False,,S,Southampton,no,True
0,2,male,44,1,0,26,Second,man,True,,S,Southampton,no,False
1,2,female,8,0,2,26.25,Second,child,False,,S,Southampton,yes,False
0,2,male,19,0,0,10.5,Second,man,True,,S,Southampton,no,True
0,2,male,33,0,0,12.275,Second,man,True,,S,Southampton,no,True
0,3,female,,1,0,14.4542,Third,woman,False,,C,Cherbourg,no,False
1,3,female,,1,0,15.5,Third,woman,False,,Q,Queenstown,yes,False
0,2,male,29,0,0,10.5,Second,man,True,,S,Southampton,no,True
0,3,male,22,0,0,7.125,Third,man,True,,S,Southampton,no,True
0,3,male,30,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
0,1,male,44,2,0,90,First,man,True,C,Q,Queenstown,no,False
0,3,female,25,0,0,7.775,Third,woman,False,,S,Southampton,no,True
1,2,female,24,0,2,14.5,Second,woman,False,,S,Southampton,yes,False
1,1,male,37,1,1,52.5542,First,man,True,D,S,Southampton,yes,False
0,2,male,54,1,0,26,Second,man,True,,S,Southampton,no,False
0,3,male,,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,3,female,29,1,1,10.4625,Third,woman,False,G,S,Southampton,no,False
0,1,male,62,0,0,26.55,First,man,True,C,S,Southampton,no,True
0,3,male,30,1,0,16.1,Third,man,True,,S,Southampton,no,False
0,3,female,41,0,2,20.2125,Third,woman,False,,S,Southampton,no,False
1,3,female,29,0,2,15.2458,Third,woman,False,,C,Cherbourg,yes,False
1,1,female,,0,0,79.2,First,woman,False,,C,Cherbourg,yes,True
1,1,female,30,0,0,86.5,First,woman,False,B,S,Southampton,yes,True
1,1,female,35,0,0,512.3292,First,woman,False,,C,Cherbourg,yes,True
1,2,female,50,0,1,26,Second,woman,False,,S,Southampton,yes,False
0,3,male,,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
1,3,male,3,4,2,31.3875,Third,child,False,,S,Southampton,yes,False
0,1,male,52,1,1,79.65,First,man,True,E,S,Southampton,no,False
0,1,male,40,0,0,0,First,man,True,B,S,Southampton,no,True
0,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,no,True
0,2,male,36,0,0,10.5,Second,man,True,,S,Southampton,no,True
0,3,male,16,4,1,39.6875,Third,man,True,,S,Southampton,no,False
1,3,male,25,1,0,7.775,Third,man,True,,S,Southampton,yes,False
1,1,female,58,0,1,153.4625,First,woman,False,C,S,Southampton,yes,False
1,1,female,35,0,0,135.6333,First,woman,False,C,S,Southampton,yes,True
0,1,male,,0,0,31,First,man,True,,S,Southampton,no,True
1,3,male,25,0,0,0,Third,man,True,,S,Southampton,yes,True
1,2,female,41,0,1,19.5,Second,woman,False,,S,Southampton,yes,False
0,1,male,37,0,1,29.7,First,man,True,C,C,Cherbourg,no,False
1,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
1,1,female,63,1,0,77.9583,First,woman,False,D,S,Southampton,yes,False
0,3,female,45,0,0,7.75,Third,woman,False,,S,Southampton,no,True
0,2,male,,0,0,0,Second,man,True,,S,Southampton,no,True
0,3,male,7,4,1,29.125,Third,child,False,,Q,Queenstown,no,False
1,3,female,35,1,1,20.25,Third,woman,False,,S,Southampton,yes,False
0,3,male,65,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
0,3,male,28,0,0,7.8542,Third,man,True,,S,Southampton,no,True
0,3,male,16,0,0,9.5,Third,man,True,,S,Southampton,no,True
1,3,male,19,0,0,8.05,Third,man,True,,S,Southampton,yes,True
0,1,male,,0,0,26,First,man,True,A,S,Southampton,no,True
0,3,male,33,0,0,8.6625,Third,man,True,,C,Cherbourg,no,True
1,3,male,30,0,0,9.5,Third,man,True,,S,Southampton,yes,True
0,3,male,22,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,2,male,42,0,0,13,Second,man,True,,S,Southampton,yes,True
1,3,female,22,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
1,1,female,26,0,0,78.85,First,woman,False,,S,Southampton,yes,True
1,1,female,19,1,0,91.0792,First,woman,False,B,C,Cherbourg,yes,False
0,2,male,36,0,0,12.875,Second,man,True,D,C,Cherbourg,no,True
0,3,female,24,0,0,8.85,Third,woman,False,,S,Southampton,no,True
0,3,male,24,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,1,male,,0,0,27.7208,First,man,True,,C,Cherbourg,no,True
0,3,male,23.5,0,0,7.2292,Third,man,True,,C,Cherbourg,no,True
0,1,female,2,1,2,151.55,First,child,False,C,S,Southampton,no,False
1,1,male,,0,0,30.5,First,man,True,C,S,Southampton,yes,True
1,1,female,50,0,1,247.5208,First,woman,False,B,C,Cherbourg,yes,False
1,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
1,3,male,,2,0,23.25,Third,man,True,,Q,Queenstown,yes,False
0,3,male,19,0,0,0,Third,man,True,,S,Southampton,no,True
1,2,female,,0,0,12.35,Second,woman,False,E,Q,Queenstown,yes,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,1,male,0.92,1,2,151.55,First,child,False,C,S,Southampton,yes,False
1,1,female,,0,0,110.8833,First,woman,False,,C,Cherbourg,yes,True
1,1,female,17,1,0,108.9,First,woman,False,C,C,Cherbourg,yes,False
0,2,male,30,1,0,24,Second,man,True,,C,Cherbourg,no,False
1,1,female,30,0,0,56.9292,First,woman,False,E,C,Cherbourg,yes,True
1,1,female,24,0,0,83.1583,First,woman,False,C,C,Cherbourg,yes,True
1,1,female,18,2,2,262.375,First,woman,False,B,C,Cherbourg,yes,False
0,2,female,26,1,1,26,Second,woman,False,,S,Southampton,no,False
0,3,male,28,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,2,male,43,1,1,26.25,Second,man,True,,S,Southampton,no,False
1,3,female,26,0,0,7.8542,Third,woman,False,,S,Southampton,yes,True
1,2,female,24,1,0,26,Second,woman,False,,S,Southampton,yes,False
0,2,male,54,0,0,14,Second,man,True,,S,Southampton,no,True
1,1,female,31,0,2,164.8667,First,woman,False,C,S,Southampton,yes,False
1,1,female,40,1,1,134.5,First,woman,False,E,C,Cherbourg,yes,False
0,3,male,22,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,3,male,27,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,2,female,30,0,0,12.35,Second,woman,False,,Q,Queenstown,yes,True
1,2,female,22,1,1,29,Second,woman,False,,S,Southampton,yes,False
0,3,male,,8,2,69.55,Third,man,True,,S,Southampton,no,False
1,1,female,36,0,0,135.6333,First,woman,False,C,C,Cherbourg,yes,True
0,3,male,61,0,0,6.2375,Third,man,True,,S,Southampton,no,True
1,2,female,36,0,0,13,Second,woman,False,D,S,Southampton,yes,True
1,3,female,31,1,1,20.525,Third,woman,False,,S,Southampton,yes,False
1,1,female,16,0,1,57.9792,First,woman,False,B,C,Cherbourg,yes,False
1,3,female,,2,0,23.25,Third,woman,False,,Q,Queenstown,yes,False
0,1,male,45.5,0,0,28.5,First,man,True,C,S,Southampton,no,True
0,1,male,38,0,1,153.4625,First,man,True,C,S,Southampton,no,False
0,3,male,16,2,0,18,Third,man,True,,S,Southampton,no,False
1,1,female,,1,0,133.65,First,woman,False,,S,Southampton,yes,False
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,1,male,29,1,0,66.6,First,man,True,C,S,Southampton,no,False
1,1,female,41,0,0,134.5,First,woman,False,E,C,Cherbourg,yes,True
1,3,male,45,0,0,8.05,Third,man,True,,S,Southampton,yes,True
0,1,male,45,0,0,35.5,First,man,True,,S,Southampton,no,True
1,2,male,2,1,1,26,Second,child,False,F,S,Southampton,yes,False
1,1,female,24,3,2,263,First,woman,False,C,S,Southampton,yes,False
0,2,male,28,0,0,13,Second,man,True,,S,Southampton,no,True
0,2,male,25,0,0,13,Second,man,True,,S,Southampton,no,True
0,2,male,36,0,0,13,Second,man,True,,S,Southampton,no,True
1,2,female,24,0,0,13,Second,woman,False,F,S,Southampton,yes,True
1,2,female,40,0,0,13,Second,woman,False,,S,Southampton,yes,True
1,3,female,,1,0,16.1,Third,woman,False,,S,Southampton,yes,False
1,3,male,3,1,1,15.9,Third,child,False,,S,Southampton,yes,False
0,3,male,42,0,0,8.6625,Third,man,True,,S,Southampton,no,True
0,3,male,23,0,0,9.225,Third,man,True,,S,Southampton,no,True
0,1,male,,0,0,35,First,man,True,C,S,Southampton,no,True
0,3,male,15,1,1,7.2292,Third,child,False,,C,Cherbourg,no,False
0,3,male,25,1,0,17.8,Third,man,True,,S,Southampton,no,False
0,3,male,,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
0,3,male,28,0,0,9.5,Third,man,True,,S,Southampton,no,True
1,1,female,22,0,1,55,First,woman,False,E,S,Southampton,yes,False
0,2,female,38,0,0,13,Second,woman,False,,S,Southampton,no,True
1,3,female,,0,0,7.8792,Third,woman,False,,Q,Queenstown,yes,True
1,3,female,,0,0,7.8792,Third,woman,False,,Q,Queenstown,yes,True
0,3,male,40,1,4,27.9,Third,man,True,,S,Southampton,no,False
0,2,male,29,1,0,27.7208,Second,man,True,,C,Cherbourg,no,False
0,3,female,45,0,1,14.4542,Third,woman,False,,C,Cherbourg,no,False
0,3,male,35,0,0,7.05,Third,man,True,,S,Southampton,no,True
0,3,male,,1,0,15.5,Third,man,True,,Q,Queenstown,no,False
0,3,male,30,0,0,7.25,Third,man,True,,S,Southampton,no,True
1,1,female,60,1,0,75.25,First,woman,False,D,C,Cherbourg,yes,False
1,3,female,,0,0,7.2292,Third,woman,False,,C,Cherbourg,yes,True
1,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
1,1,female,24,0,0,69.3,First,woman,False,B,C,Cherbourg,yes,True
1,1,male,25,1,0,55.4417,First,man,True,E,C,Cherbourg,yes,False
0,3,male,18,1,0,6.4958,Third,man,True,,S,Southampton,no,False
0,3,male,19,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,1,male,22,0,0,135.6333,First,man,True,,C,Cherbourg,no,True
0,3,female,3,3,1,21.075,Third,child,False,,S,Southampton,no,False
1,1,female,,1,0,82.1708,First,woman,False,,C,Cherbourg,yes,False
1,3,female,22,0,0,7.25,Third,woman,False,,S,Southampton,yes,True
0,1,male,27,0,2,211.5,First,man,True,C,C,Cherbourg,no,False
0,3,male,20,0,0,4.0125,Third,man,True,,C,Cherbourg,no,True
0,3,male,19,0,0,7.775,Third,man,True,,S,Southampton,no,True
1,1,female,42,0,0,227.525,First,woman,False,,C,Cherbourg,yes,True
1,3,female,1,0,2,15.7417,Third,child,False,,C,Cherbourg,yes,False
0,3,male,32,0,0,7.925,Third,man,True,,S,Southampton,no,True
1,1,female,35,1,0,52,First,woman,False,,S,Southampton,yes,False
